ds001_id,spotify_id,song,artist,release,duration_ms,popularity,danceability,energy,key,mode,valence,tempo,genres,tags,lang,matched_event_count,interaction_count_sum,preference_weight_sum,preference_weight_max,source_types,spotify_track_ids,interaction_types
12SaUULMCYJRudhD,1L3HwcCbgJ6lJEX11uibIJ,Cry,Mandy Moore,2002,223067,51.000000,0.584000,0.670000,0,1,0.543000,86.691000,"pop,soundtrack","pop,female vocalists,soundtrack,mandy moore,a walk to remember",en,2,25,2.500000,1.500000,top_tracks,7068X4wz4hhlhzj0cTlXU4|7tssql2Nvlv5IlVmvl6i8k,history
12etOXoBRGtTNOHE,7wcP2Aa2SliFhwi4SyfvfV,Summer Breeze,The Isley Brothers,1973,371707,54.000000,0.310000,0.629000,9,0,0.544000,152.276000,"soul,funk,soul,funk,motown","soul,70s,funk,summer,soul,funk,motown",en,1,10,1.000000,1.000000,top_tracks,2fiMQ44VojtY1IODTpRlnh,history
140Y8sFnpDCyMd3d,3aA5fk4c6a7e5HM4rJqkSF,Matilda,alt-J,2012,227920,52.000000,0.576000,0.653000,2,1,0.209000,147.867000,"indie rock,folk,electronic","alternative,indie,indie rock,folk,indie,alternative,electronic",en,1,10,1.000000,1.000000,top_tracks,77xZFu9TwwYnX7JNWfbavn,history
15CxeKsD9DvqCVhY,3KfbEIOC7YIv90FIfNSZpo,In My Life,The Beatles,1965,146333,69.000000,0.688000,0.435000,9,1,0.435000,103.239000,"classic rock,rock,pop","classic rock,60s,rock,pop,the beatles",en,2,25,2.500000,1.500000,top_tracks,3KfbEIOC7YIv90FIfNSZpo,history
15FubSjThciWXy1G,6g6A7qNhTfUgOSH7ROOxTD,Talk Dirty (feat. 2 Chainz),Jason Derulo,2013,177685,60.000000,0.760000,0.652000,6,1,0.759000,100.315000,pop,"rnb,pop,2014,guilty pleasure",en,1,10,1.000000,1.000000,top_tracks,31JwK4iHCf75rnQWoMPU5t,history
15ukFL1GV2TKixoZ,4jDmJ51x1o9NZB5Nxxc7gY,Careless Whisper,George Michael,1998,300107,71.000000,0.574000,0.629000,2,0,0.786000,153.119000,pop,"80s,pop,romantic,george michael,love",en,1,6,0.600000,0.600000,saved_tracks,4jDmJ51x1o9NZB5Nxxc7gY,history
1AJJKAWvMLhJbr4V,3By9jCy6b4dv5XnlhvIWwx,Dies irae,Giuseppe Verdi,2009,134747,40.000000,0.272000,0.346000,0,0,0.240000,79.773000,"classical,opera,choral","classical,opera,choral,verdi",INTRUMENTAL,1,10,1.000000,1.000000,top_tracks,4mzI0FX6EsfATmFNoKXkpR,history
1E4zW8q8ix7FmfMF,0pdKRp2sUthTPe7RLWpPqQ,You're Somebody Else,Flora Cash,2018,218883,69.000000,0.713000,0.452000,1,1,0.235000,102.963000,"folk,singer-songwriter","2018 single,folk,singer-songwriter,sweden",en,1,6,0.600000,0.600000,saved_tracks,0pdKRp2sUthTPe7RLWpPqQ,history
1LVCIU4fWhE8ms3W,7vTENp2sLS3sPY5z4npYNr,Headlock,Imogen Heap,2005,215481,39.000000,0.805000,0.371000,7,0,0.808000,119.974000,electronic,"lush,electronic,female vocalists,indie",en,2,25,2.500000,1.500000,top_tracks,63Pi2NAx5yCgeLhCTOrEou,history
1LXzq4JEYjTGVAu3,1iWgFnhR0oW5Mup8yXDAPW,Soldiers,Otherwise,2012,241849,59.000000,0.592000,0.877000,2,0,0.712000,117.106000,"rock,hard rock","rock,hard rock",en,4,56,5.600000,2.500000,saved_tracks|top_tracks,1iWgFnhR0oW5Mup8yXDAPW,history
1NSrxYWqrIUfYJlG,7zMUCLm1TN9o9JlLISztxO,Burning Love,Elvis Presley,1973,170293,65.000000,0.660000,0.748000,2,1,0.972000,143.549000,"rock,classic rock","rock n roll,oldies,rock and roll,rock,elvis,classic rock",en,1,10,1.000000,1.000000,top_tracks,7zMUCLm1TN9o9JlLISztxO,history
1PJMQl1maBvOGwlj,1ymC664RHrROyr4G4KhxXg,Create,OVERWERK,2015,355672,38.000000,0.539000,0.632000,7,1,0.335000,110.035000,"electronic,house,progressive house,electro house","electronic,house,dance,progressive house,electro house",INTRUMENTAL,1,6,0.600000,0.600000,saved_tracks,1ymC664RHrROyr4G4KhxXg,history
1PfP9hjZwp7HQVkW,70tBw295bLL8B13Jg3SNUs,Coney Island Baby,Lou Reed,1976,159093,48.000000,0.748000,0.831000,9,1,0.848000,86.781000,"rock,classic rock,singer-songwriter","rock,classic rock,singer-songwriter,fip",en,1,10,1.000000,1.000000,top_tracks,0ivHDucXMbjTjiU4lMIkBO,history
1Pfvty4majWz07HO,3kim6v8wY7HLPaNmw99SxD,Cutie Pie,One Way,1989,328893,49.000000,0.878000,0.535000,2,1,0.958000,102.495000,"funk,soul","funk,oldschool,80s,soul",en,1,10,1.000000,1.000000,top_tracks,4bH4V6scr0RXTEX492Yzwc,history
1R1kHNgqw5IWRkbu,4bN43jYf41eIjJZ3UXQpuA,Hold On,John Lennon,1970,112040,49.000000,0.684000,0.210000,1,0,0.681000,83.383000,"rock,classic rock","cookie,rock,classic rock,70s,john lennon",en,3,50,5.000000,2.500000,top_tracks,4bN43jYf41eIjJZ3UXQpuA,history
1RJxTKSQPAskFbxh,77TT8Xvx637TpzV8kKGkUw,Titanium (feat. Sia),David Guetta,2011,245041,64.000000,0.599000,0.803000,0,0,0.233000,126.057000,"electronic,house,pop","dance,electronic,house,pop,love at first listen",en,3,50,5.000000,2.500000,top_tracks,0TDLuuLlV54CkRRUOahJb4|0lHAMNU8RGiIObScrsRgmP,history
1e1Mcad1me9BW4I5,5bKpGldoAUVgzlZ8qLyydE,The Breakup Suite,Duster,2000,200867,24.000000,0.395000,0.457000,5,0,0.204000,130.220000,"space rock,indie rock,shoegaze","slowcore,space rock,2019,indie rock,shoegaze",en,3,50,5.000000,2.500000,top_tracks,3kXKHXZmaw57l7gu4Rn11x,history
1kCw7s6PF0jYdyl4,7BhZDvzJV21Dd5bY9xvtII,Between the Bars,Elliott Smith,1997,141200,52.000000,0.519000,0.077400,7,0,0.353000,135.245000,singer-songwriter,"fip,acoustic,indie,singer-songwriter,mellow,beautiful",en,2,25,2.500000,1.500000,top_tracks,52Bg6oaos7twR7IUtEpqcE,history
1mbkGw4hvKIjAqPt,59xhCcRskqyMtKzdvLZDfV,Allentown,Billy Joel,1982,230160,49.000000,0.690000,0.837000,7,1,0.967000,113.817000,"rock,classic rock,pop,piano rock","rock,80s,classic rock,pop,piano rock",en,1,10,1.000000,1.000000,top_tracks,59xhCcRskqyMtKzdvLZDfV,history
1sB1EkYi3nTqSUgJ,19HjHUjCfDrEYhVSIKG6nK,I'd Love to Change the World - 2004 Remaster,Ten Years After,1971,224133,58.000000,0.384000,0.516000,9,0,0.371000,118.129000,"classic rock,rock,blues,hard rock","blues rock,classic rock,rock,blues,hard rock",en,1,10,1.000000,1.000000,top_tracks,7n3WO6ESKS1uCI9fgkGs66,history
1sVeWGYrfzvci1Ez,77INelQIZ1j0XyYSRNt938,Hopeless,Shlohmo,2019,331117,32.000000,0.355000,0.589000,1,1,0.071200,136.953000,"experimental,electronic,abstract,experimental,electronic","experimental,electronic,glitch-hop,abstract,experimental hip-hop,experimental,electronic,glitch-hop",INTRUMENTAL,2,16,1.600000,1.000000,saved_tracks|top_tracks,4QTIn0nZY2cIkanPX62vdT,history
1uOAA86MIfB4vgid,2Lhdl74nwwVGOE2Gv35QuK,Cupid's Chokehold,Gym Class Heroes,2005,243773,60.000000,0.720000,0.744000,1,0,0.619000,78.953000,"rap,pop","hip-hop,indie,rap,pop",en,2,25,2.500000,1.500000,top_tracks,2Lhdl74nwwVGOE2Gv35QuK,history
1zu5jVcv8bMMBQeB,1oTHteQbmJw15rPxPVXUTv,Insane in the Brain,Cypress Hill,1993,208267,67.000000,0.897000,0.612000,11,1,0.767000,102.305000,"rap,hip hop","hip-hop,rap,90s,hip hop",en,1,10,1.000000,1.000000,top_tracks,1oTHteQbmJw15rPxPVXUTv,history
22YI5YceDuG0QoOj,2SRhABKMz7duB9XiPi4SDd,Lift Me Up,Moby,2005,199293,35.000000,0.581000,0.888000,7,1,0.391000,120.962000,"electronic,electronica","electronic,dance,alternative,electronica,moby",en,1,10,1.000000,1.000000,top_tracks,64hZX40A8Z14efLfF0JjwT,history
22h3peROPWFmg2Fx,0WCiI0ddWiu5F2kSHgfw5S,Take It Off,Kesha,2010,215200,59.000000,0.729000,0.675000,5,0,0.740000,125.036000,"pop,electropop,electronic","dance,pop,electropop,electronic,kesha",en,1,10,1.000000,1.000000,top_tracks,0WCiI0ddWiu5F2kSHgfw5S,history
23aA0GPz7veDbuJs,2NBQmPrOEEjA8VbeWOQGxO,Drop It Like It's Hot,Snoop Dogg,2004,266067,65.000000,0.881000,0.622000,1,1,0.633000,91.989000,"rap,hip hop","hip-hop,rap,snoop dogg,gangsta rap,hip hop",en,1,10,1.000000,1.000000,top_tracks,2NBQmPrOEEjA8VbeWOQGxO,history
26wY3PtByn0RBOYk,6YDf6QV7QfCEo8O2dbWalK,Real Love Baby,Father John Misty,2016,189293,62.000000,0.417000,0.687000,7,1,0.627000,204.110000,folk,"folk,indie,lofi,riverdale",en,1,10,1.000000,1.000000,top_tracks,0Z57YWES04xGh3AImDz6Qr,history
29qPz9aGO6jdkDqm,5GorCbAP4aL0EJ16frG2hd,Boulevard of Broken Dreams,Green Day,2017,262333,69.000000,0.496000,0.682000,8,1,0.474000,167.060000,"rock,punk","rock,punk rock,green day,punk,alternative",en,1,10,1.000000,1.000000,top_tracks,0U87auHx1iZTEFcq9KVdmO,history
2FL4WLRSWf6rLjNd,2tznHmp70DxMyr2XhWLOW0,Cigarette Daydreams,Cage the Elephant,2013,208760,68.000000,0.635000,0.675000,2,1,0.273000,113.946000,"alternative rock,rock","alternative rock,rock,alternative,indie",en,1,10,1.000000,1.000000,top_tracks,2tznHmp70DxMyr2XhWLOW0,history
2HFsFMY433xQqSUM,1H7zdcRD0gLGQY0w5ejGgX,Lovers Rock,TV Girl,2014,213920,60.000000,0.559000,0.871000,5,0,0.573000,104.976000,indie pop,"2014,indie pop,discovered,do do do",en,3,50,5.000000,2.500000,top_tracks,6dBUzqjtbnIa1TwYbyw5CM,history
2UbyfJ2ads4YvskN,6kCJMxv445L2okuTiou1fR,Tell Her About It,Billy Joel,1983,229200,51.000000,0.565000,0.894000,8,1,0.737000,182.262000,"pop,rock,classic rock,soft rock","80s,pop,rock,classic rock,soft rock,billy joel",en,3,50,5.000000,2.500000,top_tracks,6kCJMxv445L2okuTiou1fR,history
2ZmZ8o1XdjMEfXKe,1G391cbiT3v3Cywg8T7DM1,Scar Tissue,Red Hot Chili Peppers,1999,215907,73.000000,0.595000,0.717000,0,1,0.547000,88.969000,"rock,alternative rock,funk","rock,alternative rock,alternative,funk,red hot chili peppers",en,1,10,1.000000,1.000000,top_tracks,1G391cbiT3v3Cywg8T7DM1,history
2cAZUa9MxtzDspgl,1jn1tS8R58gpxfgGNyRQph,Desire Be Desire Go,Tame Impala,2010,266160,47.000000,0.370000,0.848000,1,1,0.441000,150.915000,"psychedelic rock,rock,experimental","psychedelic rock,psychedelic,rock,indie,experimental",en,2,20,2.000000,1.000000,top_tracks,4LD5p1sSp97yp86E2zDZwK|58tlMmF2L9h3NKwn07sV7N,history
2dz5irjqGlXlJ3fX,0PCduL4v5QEEKqeRUv7TEC,The Gift,Joep Beving,2017,225867,57.000000,0.381000,0.094300,0,1,0.079400,127.710000,"contemporary classical,neoclassical,neo-classical","piano,contemporary classical,modern classical,neoclassical,neo-classical,post classical",INTRUMENTAL,2,25,2.500000,1.500000,top_tracks,0PCduL4v5QEEKqeRUv7TEC,history
2iN5zookG3le4vqI,3rZtJBEvgcG2yZlkaTH9TD,Nuclear,Ryan Adams,2002,205400,29.000000,0.443000,0.847000,7,1,0.278000,120.731000,"singer-songwriter,rock,alternative country","singer-songwriter,rock,ryan adams,alternative country",en,1,6,0.600000,0.600000,saved_tracks,3rZtJBEvgcG2yZlkaTH9TD,history
2qPuAJ7Q7dBIyg0V,5y788ya4NvwhBznoDIcXwK,"Wednesday Morning, 3 A.M.",Simon & Garfunkel,1964,185413,71.000000,0.525000,0.216000,6,1,0.328000,106.761000,"folk,rock","60s,folk,acoustic,rock",en,1,10,1.000000,1.000000,top_tracks,5y788ya4NvwhBznoDIcXwK,history
2qyKesnC8z0qNywe,5p9XWUdvbUzmPCukOmwoU3,Suddenly I See,KT Tunstall,2005,201707,65.000000,0.587000,0.767000,0,1,0.664000,100.380000,"pop,singer-songwriter,rock","pop,female vocalists,indie,singer-songwriter,rock",en,1,10,1.000000,1.000000,top_tracks,5p9XWUdvbUzmPCukOmwoU3,history
2reTAz0NP2hVHRna,0YuePEX4KyfLIPMdNLPwgQ,Endors Toi,Tame Impala,2012,186640,53.000000,0.200000,0.940000,3,1,0.347000,130.011000,"psychedelic rock,rock","psychedelic rock,psychedelic,rock",en,2,16,1.600000,1.000000,saved_tracks|top_tracks,0YuePEX4KyfLIPMdNLPwgQ,history
2yArja7FuST1MJd2,5gRcv46AMTrosmTOqrOV3Q,Dumb,Nirvana,1993,151893,58.000000,0.695000,0.394000,6,1,0.845000,113.623000,"grunge,rock,alternative rock","grunge,rock,alternative,alternative rock,nirvana",en,1,10,1.000000,1.000000,top_tracks,5gRcv46AMTrosmTOqrOV3Q,history
32F98qQgIfyuA3rh,4HlFJV71xXKIGcU3kRyttv,"Hey, Soul Sister",Train,2010,216773,80.000000,0.673000,0.886000,1,0,0.795000,97.012000,"pop,rock","pop,rock,happy,upbeat,train,catchy",en,1,10,1.000000,1.000000,top_tracks,4HlFJV71xXKIGcU3kRyttv,history
3JKd3B55HUasdT4h,7Cuk8jsPPoNYQWXK9XRFvG,September,"Earth, Wind & Fire",2018,215080,78.000000,0.694000,0.831000,9,1,0.980000,125.901000,"funk,disco,soul","funk,disco,70s,soul,dance",en,1,10,1.000000,1.000000,top_tracks,7Cuk8jsPPoNYQWXK9XRFvG,history
3LtA77ONujiGvb0F,0NWPxcsf5vdjdiFUI8NgkP,Hey Joe,Jimi Hendrix,1967,210160,66.000000,0.346000,0.768000,9,1,0.532000,169.492000,"classic rock,rock,blues","classic rock,rock,blues,60s,guitar",en,1,10,1.000000,1.000000,top_tracks,0NWPxcsf5vdjdiFUI8NgkP,history
3N44mC5RNTa17Epv,1mnQiO568zXIrUncttTZGp,Good Old-Fashioned Lover Boy - Remastered 2011,Queen,1976,173173,57.000000,0.548000,0.485000,3,1,0.380000,96.775000,classic rock,"classic rock,love,dedication,cute,1delicia,delisssiossso",en,1,10,1.000000,1.000000,top_tracks,1n7xFAY4xoPeqRvrkzAtsw,history
3T1QmxISGOkyWsz7,0aym2LBJBk9DAYuHHutrIl,Hey Jude - Remastered 2015,The Beatles,2000,425653,76.000000,0.386000,0.607000,10,1,0.532000,147.207000,"classic rock,rock,pop","classic rock,rock,60s,pop",en,1,10,1.000000,1.000000,top_tracks,0aym2LBJBk9DAYuHHutrIl,history
3Y38upRWxIOVg0Uq,751gBcu62kORDelX7FV0mM,Thank You,Dido,1999,217827,57.000000,0.722000,0.595000,1,0,0.738000,79.980000,pop,"pop,female vocalists,chillout,dido,british",en,2,25,2.500000,1.500000,top_tracks,3yUcJwYu7fXAfqMj9krY6l,history
3bWjKtVMcf4WxJXB,4OV0sRTFrZLXaZZ1sS9hLn,Sirius,The Alan Parsons Project,1982,115280,51.000000,0.624000,0.396000,4,1,0.038800,111.401000,"progressive rock,rock,classic rock","progressive rock,instrumental,80s,rock,classic rock",en,1,10,1.000000,1.000000,top_tracks,4OV0sRTFrZLXaZZ1sS9hLn,history
3d7YHOa8v4AvWEV9,6lFZbCc7pn6Lme1NP7qQqQ,You Can't Always Get What You Want,The Rolling Stones,1969,448720,64.000000,0.320000,0.620000,0,1,0.472000,86.327000,"classic rock,rock","classic rock,rock,60s,the rolling stones,british",en,1,10,1.000000,1.000000,top_tracks,6lFZbCc7pn6Lme1NP7qQqQ,history
3faYOQ867TjLuWQz,26PwuMotZqcczKLHi4Htz3,Redemption Song,Bob Marley & The Wailers,1980,233560,69.000000,0.684000,0.248000,0,1,0.621000,116.002000,"reggae,roots reggae","reggae,acoustic,bob marley,roots reggae",en,1,10,1.000000,1.000000,top_tracks,26PwuMotZqcczKLHi4Htz3,history
3mEwzTmHiwL7RYYB,2wPFy7SAFnt9Nj2TipWcqb,Block Rockin' Beats,The Chemical Brothers,2008,294027,50.000000,0.606000,0.977000,1,1,0.809000,109.410000,"electronic,big beat,techno,electronica","electronic,big beat,dance,techno,electronica",en,1,10,1.000000,1.000000,top_tracks,6nGUM3Z0FNJZW9wbNj97Ig,history
3oJflRW3ftkj1IYu,2VEZx7NWsZ1D0eJ4uv5Fym,Digital Love,Daft Punk,2001,301373,60.000000,0.644000,0.664000,9,1,0.530000,124.726000,"electronic,house,electronica","electronic,dance,poptron,house,electronica,daft punk",en,1,10,1.000000,1.000000,top_tracks,2VEZx7NWsZ1D0eJ4uv5Fym,history
3q9c7eDhgc5kN9lS,3G0ENKW9vzV0SuYKaWFflI,Nikita,Elton John,1985,343240,65.000000,0.634000,0.646000,7,1,0.744000,86.612000,"pop,rock","pop,80s,elton john,rock",en,1,10,1.000000,1.000000,top_tracks,3G0ENKW9vzV0SuYKaWFflI,history
3uW7vRPZg1rDThEV,6F5c58TMEs1byxUstkzVeM,Roar,Katy Perry,2013,223546,74.000000,0.554000,0.772000,7,0,0.455000,179.984000,pop,"pop,katy perry,2013,female vocalists",en,1,10,1.000000,1.000000,top_tracks,27tNWlhdAryQY04Gb2ZhUI,history
3vpLjr47A2ANetid,2vwlzO0Qp8kfEtzTsCXfyE,Wrecking Ball,Miley Cyrus,2013,221360,72.000000,0.530000,0.422000,5,1,0.349000,119.964000,pop,"pop,ballad,love at first listen,2013",en,1,10,1.000000,1.000000,top_tracks,2vwlzO0Qp8kfEtzTsCXfyE,history
3zbT1J1fitktP7TP,2DHgvPQD1jApRnT1DBZdrS,High Speed,Coldplay,2000,256467,58.000000,0.493000,0.525000,7,0,0.248000,154.448000,"rock,alternative rock,britpop","rock,alternative,alternative rock,britpop,coldplay",en,2,25,2.500000,1.500000,top_tracks,2DHgvPQD1jApRnT1DBZdrS,history
42efOlK7gQ5gH5eo,1P9523tBg56NRc78lX2i4l,Everyday I Write the Book,Elvis Costello & The Attractions,1983,234307,44.000000,0.651000,0.755000,1,0,0.716000,102.229000,"singer-songwriter,new wave","80s,singer-songwriter,new wave,1980s",en,1,10,1.000000,1.000000,top_tracks,1P9523tBg56NRc78lX2i4l,history
44B4LvdJBuKDVja9,7zwn1eykZtZ5LODrf7c0tS,You Get Me So High,The Neighbourhood,2018,153000,58.000000,0.551000,0.881000,7,0,0.387000,88.036000,"indie rock,indie pop,rock,indie rock,indie pop","indie,indie rock,2018,indie pop,rock,indie,indie rock,indie pop",en,1,10,1.000000,1.000000,top_tracks,7zwn1eykZtZ5LODrf7c0tS,history
48mxqBW7ebNE2WuE,4Hhv2vrOTy89HFRcjU3QOx,At Last,Etta James,1960,182400,70.000000,0.171000,0.330000,5,1,0.315000,174.431000,"soul,jazz,blues","soul,jazz,blues,female vocalists,love",en,1,10,1.000000,1.000000,top_tracks,4Hhv2vrOTy89HFRcjU3QOx,history
4G3r1ru4rFVJSOAS,3aLof1zmaQ0GLcAc9YQ3Fq,Una Mattina,Ludovico Einaudi,2004,357707,59.000000,0.177000,0.060000,8,1,0.049900,136.248000,"classical,ambient","piano,classical,instrumental,ambient",INTRUMENTAL,2,25,2.500000,1.500000,top_tracks,0Dkibk70FDp6t7eOZNemNQ,history
4HbLZP6EW7KTGuP8,3BqqF8suAIzW8655yJfcvh,Morning Has Broken,Cat Stevens,1971,200000,63.000000,0.443000,0.324000,7,1,0.386000,133.102000,"folk,singer-songwriter","folk,70s,singer-songwriter,cat stevens,acoustic",en,1,6,0.600000,0.600000,saved_tracks,3BqqF8suAIzW8655yJfcvh,history
4NVBaY8G8LtnJon6,3SVAN3BRByDmHOhKyIDxfC,Karma Police,Radiohead,1997,264067,71.000000,0.360000,0.505000,7,1,0.317000,74.807000,"alternative rock,rock,rock,alternative rock","alternative,alternative rock,rock,indie,radiohead,alternative,rock,alternative rock",en,3,31,3.100000,1.500000,saved_tracks|top_tracks,63OQupATfueTdZMWTxW03A,history
4Qrv825yF8YcDqF0,2wAJTrFhCnQyNSD3oUgTZO,Work Out,J. Cole,2011,235320,70.000000,0.831000,0.427000,2,1,0.216000,93.004000,"hip hop,rap,rap,hip hop","hip-hop,hip hop,j cole,rap,2011,hip-hop,rap,hip hop",en,3,31,3.100000,1.500000,saved_tracks|top_tracks,2wAJTrFhCnQyNSD3oUgTZO,history
4S2N0UNI4K33uo3e,6gCVA6ja6g0foIsWv0RuSZ,ATWA,System of a Down,2001,176200,61.000000,0.376000,0.787000,5,0,0.372000,87.105000,"alternative metal,metal,rock","alternative metal,metal,rock,system of a down,alternative",en,1,10,1.000000,1.000000,top_tracks,6gCVA6ja6g0foIsWv0RuSZ,history
4U4OVmmnenJ5xGrp,1CkvWZme3pRgbzaxZnTl5X,Rolling in the Deep,Adele,2011,228293,70.000000,0.729000,0.756000,8,1,0.522000,104.945000,"soul,pop","soul,pop,female vocalists,adele,british",en,3,31,3.100000,1.500000,saved_tracks|top_tracks,4OSBTYWVwsQhGLF9NHvIbR|6IAZHEBUIGJ6NJKxxOBIEr,history
4WZ4nxbqfJL6D73I,76478Z6x3jH8SdSo18vP6k,Everybody Here Wants You,Jeff Buckley,1998,284960,46.000000,0.726000,0.386000,0,1,0.606000,120.675000,"rock,singer-songwriter","sexy,fip,rock,singer-songwriter,love,alternative",en,4,55,5.500000,2.500000,recently_played|top_tracks,2bcvooA6HEmVUneEGJnNZD,history
4Wb6mkYeW0XuiUet,6qZjm61s6u8Ead9sWxCDro,Elephant,Tame Impala,2012,211227,67.000000,0.597000,0.575000,2,1,0.621000,122.959000,psychedelic rock,"poptron,psychedelic rock",en,3,31,3.100000,1.500000,saved_tracks|top_tracks,6qZjm61s6u8Ead9sWxCDro,history
4Y4l5B4IkrYncIqh,57JVGBtBLCfHw2muk5416J,Another One Bites The Dust - Remastered 2011,Queen,1980,214653,73.000000,0.951000,0.530000,5,0,0.699000,109.979000,rock,"rock,80s",en,2,25,2.500000,1.500000,top_tracks,5vdp5UmvTsnMEMESIF2Ym7,history
4oTCBnBQ389wmbQN,2RWFncSWZEhSRRifqiDNVV,Run to You,Bryan Adams,1984,233270,62.000000,0.561000,0.811000,4,1,0.635000,126.593000,"rock,classic rock,pop","rock,80s,classic rock,pop,bryan adams",en,2,25,2.500000,1.500000,top_tracks,2RWFncSWZEhSRRifqiDNVV,history
4rbvP2ZF2o9Bnv05,5ghIJDpPoe3CfHMGu71E6T,Smells Like Teen Spirit,Nirvana,1991,301920,72.000000,0.516000,0.906000,1,1,0.728000,116.775000,"grunge,rock","grunge,rock,alternative,90s,nirvana",en,1,10,1.000000,1.000000,top_tracks,4CeeEOM32jQcH3eN9Q2dGj,history
4v0ckwWCv2ags5jv,1c478uMN61yF2JOXXEtsdw,Spectrum (Say My Name) (Calvin Harris Remix),Florence + the Machine,2012,218190,49.000000,0.589000,0.941000,11,0,0.590000,126.113000,"house,electronic,pop","dance,house,electronic,pop",en,3,31,3.100000,1.500000,saved_tracks|top_tracks,57yeWyaoeTt26p0dlEZukQ,history
4zOF93S2zfaD5h1a,6CuBgLgwDQFoJvoYbXp5pB,September in the Rain,Dinah Washington,2014,125027,44.000000,0.407000,0.295000,1,1,0.664000,112.130000,jazz,"jazz,dinah washington,female vocalist",en,1,10,1.000000,1.000000,top_tracks,2csA2nDUNR5TfQEn1I7nt4,history
51XYIfDaAUgQXb5u,2KgGzC2tP6DYbatyvdap3O,"Honey, Honey",ABBA,1974,176467,45.000000,0.473000,0.804000,5,1,0.735000,140.550000,"pop,disco","pop,70s,abba,disco",en,1,10,1.000000,1.000000,top_tracks,2w6JXokk0F8i241Y8C0Mn6,history
