rank,track_id,lead_genre,matched_genres,matched_tags,final_score,bpm_similarity,bpm_contribution,danceability_similarity,danceability_contribution,loudness_similarity,loudness_contribution,V_mean_similarity,V_mean_contribution,A_mean_similarity,A_mean_contribution,D_mean_similarity,D_mean_contribution,lead_genre_similarity,lead_genre_contribution,genre_overlap_similarity,genre_overlap_contribution,tag_overlap_similarity,tag_overlap_contribution
13,CiLFjUJvYWGmyr2d,indie rock,indie rock|rock,indie|alternative|rock|indie rock|alternative rock,0.581372,0.198649,0.019865,0.216273,0.021627,0.274823,0.021986,0.739942,0.088793,0.755509,0.060441,0.93709,0.074967,1.0,0.12,0.376117,0.060179,0.709465,0.113514
14,ez35sBpNVUuM6emD,indie rock,indie rock,indie|alternative|indie rock|electronic|rock,0.566557,0.0,0.0,0.728697,0.07287,0.0,0.0,0.922573,0.110709,0.612252,0.04898,0.764447,0.061156,1.0,0.12,0.252684,0.040429,0.702584,0.112413
15,yKSK3z6kBv2YJfjx,indie rock,indie rock|rock,indie rock|rock|alternative|alternative rock|indie,0.561334,0.0,0.0,0.697254,0.069725,0.367941,0.029435,0.409662,0.049159,0.835168,0.066813,0.656358,0.052509,1.0,0.12,0.376117,0.060179,0.709465,0.113514
16,UD0DWvRMwWe8Swiw,indie rock,indie rock|rock,indie rock|rock|indie|alternative|alternative rock|pop,0.547135,0.0,0.0,0.217487,0.021749,0.106692,0.008535,0.851816,0.102218,0.4492,0.035936,0.844406,0.067552,1.0,0.12,0.376117,0.060179,0.818538,0.130966
17,B7SJXdcP0HhDMyfm,indie rock,indie rock,indie|indie rock|alternative,0.515706,0.0,0.0,0.269063,0.026906,0.568227,0.045458,0.815012,0.097801,0.407679,0.032614,0.90779,0.072623,1.0,0.12,0.252684,0.040429,0.499216,0.079875
18,PZEgbQhTHMMrKRLv,folk,indie rock,indie|indie rock|indie pop|pop,0.508231,0.746408,0.074641,0.415217,0.041522,0.0,0.0,0.985333,0.11824,0.932672,0.074614,0.994294,0.079544,0.0,0.0,0.252684,0.040429,0.495255,0.079241
19,9ZtfD8gBZXonrJKX,pop,pop,pop,0.500642,0.723558,0.072356,0.4323,0.04323,0.957274,0.076582,0.750315,0.090038,0.95264,0.076211,0.8376,0.067008,0.306301,0.036756,0.131308,0.021009,0.109073,0.017452
20,X4fkzkyHslEut5Tc,indie rock,indie rock|rock,rock|indie rock|alternative|indie|alternative rock,0.497153,0.090657,0.009066,0.723644,0.072364,0.060124,0.00481,0.150386,0.018046,0.781867,0.062549,0.457814,0.036625,1.0,0.12,0.376117,0.060179,0.709465,0.113514
21,P3KEx5uCaRSiG2x2,indie rock,indie rock|rock,indie|alternative|rock|alternative rock,0.49555,0.0,0.0,0.376794,0.037679,0.0,0.0,0.488011,0.058561,0.701259,0.056101,0.812869,0.06503,1.0,0.12,0.376117,0.060179,0.612499,0.098
22,GB9LkV8pTLXCCvX6,folk,indie rock,indie|indie rock|rock|alternative|indie pop,0.486935,0.247911,0.024791,0.72612,0.072612,0.408264,0.032661,0.402224,0.048267,0.956845,0.076548,0.983675,0.078694,0.0,0.0,0.252684,0.040429,0.705829,0.112933
23,SezvoI7y9p6mDvB3,pop,pop|indie pop,indie|indie pop|pop|alternative,0.485323,0.086793,0.008679,0.493251,0.049325,0.01683,0.001346,0.974953,0.116994,0.765796,0.061264,0.897659,0.071813,0.306301,0.036756,0.303014,0.048482,0.566649,0.090664
24,o2LcK38b4mFLa55g,alternative rock,alternative rock|rock,rock|alternative rock|alternative|indie|pop,0.471394,0.15065,0.015065,0.085958,0.008596,0.842678,0.067414,0.810186,0.097222,0.922406,0.073792,0.37654,0.030123,0.303926,0.036471,0.17037,0.027259,0.721572,0.115452
25,9CHzAeSHv9tWaIXW,electronic,electronic,electronic|alternative,0.466496,0.96652,0.096652,0.78262,0.078262,0.551172,0.044094,0.205392,0.024647,0.928729,0.074298,0.704091,0.056327,0.328812,0.039457,0.109305,0.017489,0.22044,0.03527
26,0X9aluHlz6iKWBMR,alternative rock,alternative rock|rock,rock|alternative|alternative rock|electronic,0.46313,0.0,0.0,0.576245,0.057625,0.219475,0.017558,0.870033,0.104404,0.938446,0.075076,0.947843,0.075827,0.303926,0.036471,0.17037,0.027259,0.430688,0.06891
27,ql2191d6uNCVM932,alternative rock,alternative rock|rock,rock|alternative rock|alternative|indie,0.454844,0.0,0.0,0.729398,0.07294,0.467485,0.037399,0.581323,0.069759,0.645425,0.051634,0.767278,0.061382,0.303926,0.036471,0.17037,0.027259,0.612499,0.098
28,zFFaxVMVqVtQMaRB,hard rock,rock,rock,0.448745,0.774121,0.077412,0.565123,0.056512,0.936184,0.074895,0.468037,0.056164,0.952581,0.076206,0.795018,0.063601,0.0,0.0,0.123433,0.019749,0.151287,0.024206
29,QhQahljQAwJIBXvA,electronic,electronic|pop,electronic|indie|pop,0.429182,0.614398,0.06144,0.504511,0.050451,0.049652,0.003972,0.397698,0.047724,0.931956,0.074556,0.62346,0.049877,0.328812,0.039457,0.240613,0.038498,0.395044,0.063207
30,X4ws3hW4yKZyFPi6,indie pop,indie pop|pop,indie|pop|alternative|indie pop,0.428675,0.0,0.0,0.621217,0.062122,0.0,0.0,0.498174,0.059781,0.734883,0.058791,0.79814,0.063851,0.374868,0.044984,0.303014,0.048482,0.566649,0.090664
31,cDf6FcmbzmqAMZXB,indie pop,indie pop|pop,indie pop|indie|pop|alternative,0.401197,0.0,0.0,0.438828,0.043883,0.109909,0.008793,0.50087,0.060104,0.749308,0.059945,0.554269,0.044342,0.374868,0.044984,0.303014,0.048482,0.566649,0.090664
32,ZroyniZj5TmQTEeg,pop,pop|indie pop,indie|pop|indie pop|alternative,0.395761,0.031272,0.003127,0.625375,0.062538,0.0,0.0,0.301388,0.036167,0.832903,0.066632,0.642442,0.051395,0.306301,0.036756,0.303014,0.048482,0.566649,0.090664
33,JdKYM8BZEjL8VmSe,pop punk,rock,rock|alternative|alternative rock,0.388909,0.0,0.0,0.65571,0.065571,0.161178,0.012894,0.832799,0.099936,0.883294,0.070664,0.743979,0.059518,0.0,0.0,0.123433,0.019749,0.378608,0.060577
34,axdv4kGugNPl0G69,alternative rock,alternative rock|rock,alternative rock|rock|alternative|indie,0.375245,0.567757,0.056776,0.0,0.0,0.0,0.0,0.154525,0.018543,0.876484,0.070119,0.850959,0.068077,0.303926,0.036471,0.17037,0.027259,0.612499,0.098
35,VUwJpQjeH7lOujed,hard rock,rock,rock,0.372256,0.956748,0.095675,0.970439,0.097044,0.684258,0.054741,0.114006,0.013681,0.239106,0.019128,0.600394,0.048032,0.0,0.0,0.123433,0.019749,0.151287,0.024206
36,jmq9rFLdkgwkaqyV,electronic,electronic|pop,pop|electronic|indie,0.368117,0.0,0.0,0.891274,0.089127,0.0,0.0,0.403917,0.04847,0.550204,0.044016,0.566778,0.045342,0.328812,0.039457,0.240613,0.038498,0.395044,0.063207
37,t69cOklpskwuIzkN,hard rock,rock,rock,0.34825,0.31954,0.031954,0.0,0.0,0.157399,0.012592,0.8896,0.106752,0.965581,0.077246,0.946892,0.075751,0.0,0.0,0.123433,0.019749,0.151287,0.024206
38,9z2L8uD3GjNoXSRs,pop,pop,pop,0.338837,0.0,0.0,0.435517,0.043552,0.597376,0.04779,0.349049,0.041886,0.947293,0.075783,0.682615,0.054609,0.306301,0.036756,0.131308,0.021009,0.109073,0.017452
39,IYI6RFvYIFFg9Mi7,trip hop,trip hop|electronic,electronic|alternative,0.330628,0.414982,0.041498,0.447239,0.044724,0.632173,0.050574,0.0,0.0,0.532205,0.042576,0.495029,0.039602,0.319227,0.038307,0.237984,0.038077,0.22044,0.03527
40,APCOA8vqweV4WMee,electronic,electronic,electronic,0.321614,0.0,0.0,0.666228,0.066623,0.21334,0.017067,0.555606,0.066673,0.674258,0.053941,0.650387,0.052031,0.328812,0.039457,0.109305,0.017489,0.05208,0.008333
41,itO50SbHqR6xiK3t,hip hop,rock,rock|alternative|alternative rock,0.31742,0.0,0.0,0.450539,0.045054,0.046757,0.003741,0.506119,0.060734,0.606515,0.048521,0.988044,0.079044,0.0,0.0,0.123433,0.019749,0.378608,0.060577
42,zs8HfoDBJLYAtDrU,pop,pop,alternative|pop|indie|alternative rock,0.310177,0.0,0.0,0.039044,0.003904,0.0,0.0,0.264341,0.031721,0.851563,0.068125,0.717698,0.057416,0.306301,0.036756,0.131308,0.021009,0.570285,0.091246
43,VjL805nl0oHFzqSt,hard rock,rock,rock,0.307873,0.0,0.0,0.0,0.0,0.070193,0.005615,0.900047,0.108006,0.945246,0.07562,0.93346,0.074677,0.0,0.0,0.123433,0.019749,0.151287,0.024206
44,eNKt8Nt4qTpVT935,hard rock,rock,rock,0.294116,0.0,0.0,0.088639,0.008864,0.629293,0.050343,0.341838,0.041021,0.957203,0.076576,0.916963,0.073357,0.0,0.0,0.123433,0.019749,0.151287,0.024206
45,9CLTmq6Ps7WVseF2,hard rock,rock,rock,0.19603,0.0,0.0,0.020853,0.002085,0.522391,0.041791,0.0,0.0,0.772619,0.06181,0.579862,0.046389,0.0,0.0,0.123433,0.019749,0.151287,0.024206
46,9EERk7bPIn9HNBvE,pop,pop,pop,0.195253,0.0,0.0,0.0,0.0,0.961501,0.07692,0.0,0.0,0.293539,0.023483,0.245409,0.019633,0.306301,0.036756,0.131308,0.021009,0.109073,0.017452
47,WMPyZbE6EvI5f4wF,pop,pop,pop,0.161785,0.0,0.0,0.0,0.0,0.0,0.0,0.040136,0.004816,0.302251,0.02418,0.719646,0.057572,0.306301,0.036756,0.131308,0.021009,0.109073,0.017452
