rank,track_id,lead_genre,matched_genres,matched_tags,final_score,danceability_similarity,danceability_contribution,energy_similarity,energy_contribution,valence_similarity,valence_contribution,tempo_similarity,tempo_contribution,duration_ms_similarity,duration_ms_contribution,key_similarity,key_contribution,mode_similarity,mode_contribution,lead_genre_similarity,lead_genre_contribution,genre_overlap_similarity,genre_overlap_contribution,tag_overlap_similarity,tag_overlap_contribution
15,pj4i2c5OmthxRh77,pop,pop|singer-songwriter|rock,pop|singer-songwriter|indie|rock,0.63772,0.32504,0.013002,0.679687,0.020391,0.801587,0.024048,0.245718,0.007372,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.29,0.556461,0.133551,0.51502,0.149356
16,dQUNiihhNbCIbtOF,pop,pop|rock|folk,pop|rock|alternative,0.637554,0.878373,0.035135,0.0,0.0,0.0,0.0,0.915384,0.027462,0.785185,0.015704,0.024619,0.000492,0.26491,0.002649,1.0,0.29,0.527613,0.126627,0.480983,0.139485
17,zvzgAqkoF29HxtvO,pop,pop|rock,indie|pop|alternative|rock,0.636917,0.628293,0.025132,0.95302,0.028591,0.0,0.0,0.250451,0.007514,0.0,0.0,0.642048,0.012841,0.0,0.0,1.0,0.29,0.491782,0.118028,0.533832,0.154811
18,PZVW1IbNypbxdfwM,pop,pop|rock,pop|rock,0.63674,0.951707,0.038068,0.219687,0.006591,0.938413,0.028152,0.950082,0.028502,0.314952,0.006299,0.0,0.0,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.408451,0.118451
19,7Pg5wxB8YYtxIiT7,pop,pop|rock,pop|80s|dance|rock,0.635905,0.331707,0.013268,0.706353,0.021191,0.0,0.0,0.750616,0.022518,0.682952,0.013659,0.0,0.0,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.533075,0.154592
20,IRdXoGT7rx5IWzVd,pop,pop|rock|electronic,pop|rock|dance|electronic,0.634828,0.111707,0.004468,0.426353,0.012791,0.378413,0.011352,0.940682,0.02822,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.29,0.566806,0.136033,0.524014,0.151964
21,0mdmLBCg5qRqO9kw,pop,pop|rock|electronic,pop|rock|dance|electronic,0.634763,0.458373,0.018335,0.71302,0.021391,0.0,0.0,0.568016,0.01704,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.29,0.566806,0.136033,0.524014,0.151964
22,0ULNOWrSXcsIofDc,pop,pop|rock|singer-songwriter,pop|rock|singer-songwriter,0.634533,0.84504,0.033802,0.040313,0.001209,0.82508,0.024752,0.249584,0.007488,0.352615,0.007052,0.0,0.0,0.26491,0.002649,1.0,0.29,0.556461,0.133551,0.462171,0.13403
23,o74kx8C6hUnQtGEK,pop,pop|rock|electronic,pop|rock|electronic|alternative,0.633897,0.61496,0.024598,0.0,0.0,0.0,0.0,0.683816,0.020514,0.127385,0.002548,0.0,0.0,0.26491,0.002649,1.0,0.29,0.566806,0.136033,0.543294,0.157555
24,8r0CP0DgHx376urL,pop,pop|rock|electronic,pop|rock|electronic,0.633208,0.91496,0.036598,0.0,0.0,0.688253,0.020648,0.0,0.0,0.670382,0.013408,0.0,0.0,0.0,0.0,1.0,0.29,0.566806,0.136033,0.470763,0.136521
25,tkkrehVtWSlMS6RW,pop,pop|rock,pop|80s|dance|rock,0.632733,0.0,0.0,0.72698,0.021809,0.52508,0.015752,0.349651,0.01049,0.946052,0.018921,0.024619,0.000492,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.533075,0.154592
26,HwuXXKHV7OHfYX1k,pop,pop|rock,alternative|pop|rock,0.631635,0.981627,0.039265,0.833647,0.025009,0.0,0.0,0.253184,0.007596,0.612582,0.012252,0.0,0.0,0.0,0.0,1.0,0.29,0.491782,0.118028,0.480983,0.139485
27,7CzWEPXag7nOVCEQ,pop,pop|singer-songwriter|rock,pop|singer-songwriter|indie|rock,0.630386,0.54504,0.021802,0.679687,0.020391,0.37492,0.011248,0.0,0.0,0.069452,0.001389,0.0,0.0,0.26491,0.002649,1.0,0.29,0.556461,0.133551,0.51502,0.149356
28,tHye6jQNg1419tmI,pop,pop|rock,pop|80s|dance|rock,0.630255,0.0,0.0,0.65302,0.019591,0.598413,0.017952,0.318318,0.00955,0.870052,0.017401,0.024619,0.000492,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.533075,0.154592
29,takVho6da4eCNC83,pop,pop|rock,pop|rock|alternative,0.629423,0.781627,0.031265,0.980313,0.029409,0.0,0.0,0.151616,0.004548,0.677352,0.013547,0.024619,0.000492,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.480983,0.139485
30,4ZxlIxhHhrpWJcXt,pop,pop|singer-songwriter|rock,pop|singer-songwriter|rock,0.628243,0.74504,0.029802,0.466353,0.013991,0.0,0.0,0.552349,0.01657,0.382518,0.00765,0.0,0.0,0.26491,0.002649,1.0,0.29,0.556461,0.133551,0.462171,0.13403
31,tRJ6mTLznKfzHygw,pop,pop|singer-songwriter|rock,pop|singer-songwriter|rock,0.628239,0.94504,0.037802,0.366353,0.010991,0.25492,0.007648,0.045851,0.001376,0.0,0.0,0.642048,0.012841,0.0,0.0,1.0,0.29,0.556461,0.133551,0.462171,0.13403
32,tFF7SJ3fkX4xJj8n,pop,pop|singer-songwriter|rock,pop|alternative|singer-songwriter|rock,0.628025,0.671707,0.026868,0.0,0.0,0.03492,0.001048,0.0,0.0,0.250952,0.005019,0.691285,0.013826,0.26491,0.002649,1.0,0.29,0.556461,0.133551,0.534702,0.155064
33,IILILeV8MAOTGm3R,pop,pop|singer-songwriter|rock,pop|singer-songwriter|indie|rock,0.62769,0.798373,0.031935,0.0,0.0,0.761587,0.022848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.29,0.556461,0.133551,0.51502,0.149356
34,MoDvlVJDFVouf7OI,pop,pop|rock|singer-songwriter,pop|rock|singer-songwriter,0.625319,0.898373,0.035935,0.0,0.0,0.0,0.0,0.851584,0.025548,0.180285,0.003606,0.0,0.0,0.26491,0.002649,1.0,0.29,0.556461,0.133551,0.462171,0.13403
35,5ElsQrERvWhY32iG,pop,pop|rock,pop|rock,0.624994,0.871707,0.034868,0.600313,0.018009,0.768253,0.023048,0.0,0.0,0.997048,0.019941,0.0,0.0,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.408451,0.118451
36,JgUNLzprRvaD9D9V,pop,pop|rock,pop|80s|dance|rock,0.624735,0.69496,0.027798,0.579687,0.017391,0.0,0.0,0.564216,0.016926,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.29,0.491782,0.118028,0.533075,0.154592
37,Bj2puKI4mBrtarKZ,pop,pop|rock|electronic,pop|rock|electronic,0.624244,0.48504,0.019402,0.0,0.0,0.0,0.0,0.948749,0.028462,0.0,0.0,0.691285,0.013826,0.0,0.0,1.0,0.29,0.566806,0.136033,0.470763,0.136521
38,kDMYFkunXnqmbzz2,pop,pop|rock,pop|rock,0.621331,0.851707,0.034068,0.659687,0.019791,0.938413,0.028152,0.0,0.0,0.0,0.0,0.642048,0.012841,0.0,0.0,1.0,0.29,0.491782,0.118028,0.408451,0.118451
39,SfpTRUz3LCr1Hiaq,pop,pop|rock,pop|rock,0.620646,0.80504,0.032202,0.19302,0.005791,0.95492,0.028648,0.917518,0.027526,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.29,0.491782,0.118028,0.408451,0.118451
40,dPlgVQdg1QmUhgh2,pop,pop|rock,pop|rock,0.619743,0.511707,0.020468,0.80698,0.024209,0.0,0.0,0.957016,0.02871,0.836785,0.016736,0.024619,0.000492,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.408451,0.118451
41,LkZWwOEg3ZVpQSt9,pop,pop|rock,pop|rock,0.617594,0.958373,0.038335,0.75302,0.022591,0.0,0.0,0.917984,0.02754,0.0,0.0,0.0,0.0,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.408451,0.118451
42,LqeJ6YtImxR8UnlT,pop,pop|rock,pop|alternative|rock,0.617132,0.618373,0.024735,0.0,0.0,0.86508,0.025952,0.382651,0.01148,0.240148,0.004803,0.0,0.0,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.480983,0.139485
43,f7nMTiV0NHDaPOIK,pop,pop|rock,80s|pop|rock,0.617065,0.99496,0.039798,0.24698,0.007409,0.0,0.0,0.667718,0.020032,0.0,0.0,0.0,0.0,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.479824,0.139149
44,fraglE0va6B3zUwB,pop,pop|rock,80s|pop|rock,0.617065,0.99496,0.039798,0.24698,0.007409,0.0,0.0,0.667718,0.020032,0.0,0.0,0.0,0.0,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.479824,0.139149
45,p3GD7pKlqqgeWUAg,pop,pop|rock,pop|rock,0.6153,0.898373,0.035935,0.0,0.0,0.981587,0.029448,0.048984,0.00147,0.965948,0.019319,0.0,0.0,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.408451,0.118451
46,3T4Lqe9Flc1bhF3O,pop,pop|rock|alternative rock,pop|rock,0.614594,0.0,0.0,0.473647,0.014209,0.881587,0.026448,0.650984,0.01953,0.782052,0.015641,0.0,0.0,0.26491,0.002649,1.0,0.29,0.531943,0.127666,0.408451,0.118451
47,HWeetbahKp7mKtR9,pop,pop|rock,pop|indie|alternative|rock,0.613455,0.75496,0.030198,0.0,0.0,0.0,0.0,0.680616,0.020418,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.29,0.491782,0.118028,0.533832,0.154811
48,k1IhoAdzhz0wJzRG,pop,pop|rock,80s|pop|rock,0.613295,0.50504,0.020202,0.0,0.0,0.38508,0.011552,0.684616,0.020538,0.0,0.0,0.691285,0.013826,0.0,0.0,1.0,0.29,0.491782,0.118028,0.479824,0.139149
49,2PW5Sut3iCaRpdkS,pop,pop|rock,pop|rock,0.612646,0.92504,0.037002,0.53302,0.015991,0.881587,0.026448,0.0,0.0,0.203852,0.004077,0.0,0.0,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.408451,0.118451
50,SJW6LiBxAzzOnyKU,pop,pop|rock|alternative rock,pop|rock|alternative,0.612569,0.628293,0.025132,0.87302,0.026191,0.0,0.0,0.048184,0.001446,0.0,0.0,0.0,0.0,0.26491,0.002649,1.0,0.29,0.531943,0.127666,0.480983,0.139485
51,Ves2wtCuRbL694O9,pop,pop|rock,pop|rock,0.612077,0.66504,0.026602,0.95302,0.028591,0.0,0.0,0.925216,0.027756,0.0,0.0,0.0,0.0,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.408451,0.118451
52,rmGqmQob6mDJdFn1,pop,pop|rock,pop|alternative|rock,0.611885,0.931707,0.037268,0.206353,0.006191,0.0,0.0,0.0,0.0,0.913185,0.018264,0.0,0.0,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.480983,0.139485
53,c0OG4pL6JghFcpTA,pop,pop|rock,pop|rock,0.611342,0.98504,0.039402,0.0,0.0,0.0,0.0,0.940749,0.028222,0.729482,0.01459,0.0,0.0,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.408451,0.118451
54,NYzsGpc8XvkJvfCO,pop,pop|rock,pop|80s|dance|rock,0.61068,0.431707,0.017268,0.71302,0.021391,0.22508,0.006752,0.0,0.0,0.0,0.0,0.0,0.0,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.533075,0.154592
55,oXS2cewKOlDfmKZH,pop,pop|rock,pop|rock,0.61008,0.581627,0.023265,0.346353,0.010391,0.96508,0.028952,0.611482,0.018344,0.0,0.0,0.0,0.0,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.408451,0.118451
56,y2h5htbWsRjalTzm,pop,pop|electronic|rock,pop|indie|electronic|rock,0.609858,0.0,0.0,0.0,0.0,0.428253,0.012848,0.618549,0.018556,0.028718,0.000574,0.0,0.0,0.0,0.0,1.0,0.29,0.566806,0.136033,0.523612,0.151847
57,JRc9hFrPHBOuhEE4,pop,pop|rock,pop|indie|rock,0.607979,0.438373,0.017535,0.0,0.0,0.778413,0.023352,0.414882,0.012446,0.0,0.0,0.642048,0.012841,0.0,0.0,1.0,0.29,0.491782,0.118028,0.461301,0.133777
58,YVAVSjJFA5nr2Bm4,pop,pop|singer-songwriter|rock,pop|singer-songwriter|rock,0.606991,0.671707,0.026868,0.0,0.0,0.03492,0.001048,0.0,0.0,0.250952,0.005019,0.691285,0.013826,0.26491,0.002649,1.0,0.29,0.556461,0.133551,0.462171,0.13403
59,GVSGYwW9eqRvRot4,pop,pop|rock,pop|rock,0.606984,0.331707,0.013268,0.93302,0.027991,0.168253,0.005048,0.910184,0.027306,0.212152,0.004243,0.0,0.0,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.408451,0.118451
60,p42N3DPYrMzuDy67,pop,pop|rock,pop|rock|alternative,0.606721,0.83496,0.033398,0.54698,0.016409,0.0,0.0,0.0,0.0,0.337615,0.006752,0.0,0.0,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.480983,0.139485
61,qiW5mU03bj7e4qXJ,pop,pop|rock,pop|rock,0.605591,0.59496,0.023798,0.53302,0.015991,0.761587,0.022848,0.0,0.0,0.0,0.0,0.691285,0.013826,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.408451,0.118451
62,qHbErUpyWON7cYOR,pop,pop|rock,pop|rock|dance,0.60551,0.85496,0.034198,0.0,0.0,0.0,0.0,0.552616,0.016578,0.508148,0.010163,0.0,0.0,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.461703,0.133894
63,ZpZ1OZAZYw6JQ4r4,pop,pop|rock,alternative|pop|indie|rock,0.605364,0.568293,0.022732,0.0,0.0,0.231747,0.006952,0.0,0.0,0.0,0.0,0.642048,0.012841,0.0,0.0,1.0,0.29,0.491782,0.118028,0.533832,0.154811
64,2wZXfIxJQMVAchl7,pop,pop|rock,pop|alternative|rock,0.605343,0.0,0.0,0.919687,0.027591,0.0,0.0,0.919651,0.02759,0.0,0.0,0.0,0.0,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.480983,0.139485
65,EtrysrVMzvZQA0fm,pop,pop|rock,pop|rock|dance,0.604588,0.978373,0.039135,0.286353,0.008591,0.481587,0.014448,0.0,0.0,0.0,0.0,0.024619,0.000492,0.0,0.0,1.0,0.29,0.491782,0.118028,0.461703,0.133894
66,sUYRy6BewmmvHms5,pop,pop|rock|electronic,pop|rock|electronic|alternative,0.604276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.392348,0.007847,0.642048,0.012841,0.0,0.0,1.0,0.29,0.566806,0.136033,0.543294,0.157555
67,iUBCw0tQPww4pBx5,pop,pop|rock,pop|80s|rock,0.603749,0.928293,0.037132,0.559687,0.016791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.479824,0.139149
68,N694ShHsLVXTSDqd,pop,pop|rock,pop|rock,0.602675,0.84504,0.033802,0.0,0.0,0.868253,0.026048,0.544882,0.016346,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.29,0.491782,0.118028,0.408451,0.118451
69,D0AdTflgurMzFo8y,pop,pop|rock,pop|rock,0.602235,0.491707,0.019668,0.546353,0.016391,0.0,0.0,0.916784,0.027504,0.477185,0.009544,0.0,0.0,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.408451,0.118451
70,BRiCpmqhEUonpU82,pop,pop|electronic|rock,pop|electronic|rock,0.602058,0.198373,0.007935,0.239687,0.007191,0.351747,0.010552,0.0,0.0,0.0,0.0,0.691285,0.013826,0.0,0.0,1.0,0.29,0.566806,0.136033,0.470763,0.136521
71,Xxtpr3xWO2fyLaKr,pop,pop|rock,pop|rock,0.60117,0.888293,0.035532,0.0,0.0,0.96508,0.028952,0.251918,0.007558,0.0,0.0,0.0,0.0,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.408451,0.118451
72,V0pU3mECMOiQHssw,pop,pop|rock,pop|indie|rock,0.601054,0.361627,0.014465,0.259687,0.007791,0.80508,0.024152,0.0,0.0,0.0,0.0,0.642048,0.012841,0.0,0.0,1.0,0.29,0.491782,0.118028,0.461301,0.133777
73,JH56KcmZczKnwbGN,pop,pop|rock,pop|rock,0.599469,0.531707,0.021268,0.0,0.0,0.398413,0.011952,0.812682,0.02438,0.637048,0.012741,0.0,0.0,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.408451,0.118451
74,s4nZ0iXupW8G3c4g,pop,pop|rock|electronic,pop|rock|electronic|dance,0.599111,0.461627,0.018465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26491,0.002649,1.0,0.29,0.566806,0.136033,0.524014,0.151964
75,jbF8naApgchNM0pt,pop,pop|rock,pop|rock,0.598261,0.65496,0.026198,0.0,0.0,0.088253,0.002648,0.909318,0.02728,0.782815,0.015656,0.0,0.0,0.0,0.0,1.0,0.29,0.491782,0.118028,0.408451,0.118451
76,xiN5HF2RUWW9ZDWG,pop,pop|rock,pop|rock,0.59779,0.841627,0.033665,0.60698,0.018209,0.0,0.0,0.0,0.0,0.839385,0.016788,0.0,0.0,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.408451,0.118451
77,EonalxrIZUcgiAER,pop,pop|rock,pop|rock,0.597565,0.271707,0.010868,0.0,0.0,0.888253,0.026648,0.652149,0.019564,0.700285,0.014006,0.0,0.0,0.0,0.0,1.0,0.29,0.491782,0.118028,0.408451,0.118451
78,iy3UkkYzq0FvShwB,pop,pop|rock,pop|rock,0.597348,0.741627,0.029665,0.219687,0.006591,0.0,0.0,0.912384,0.027372,0.229618,0.004592,0.0,0.0,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.408451,0.118451
79,n0TM2lOC4P7WXau2,pop,pop|rock,pop|80s|rock,0.597314,0.52504,0.021002,0.0,0.0,0.0,0.0,0.882882,0.026486,0.0,0.0,0.0,0.0,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.479824,0.139149
80,LxOkajMwvwPQGulI,pop,pop|rock,pop|indie|rock,0.597308,0.351707,0.014068,0.600313,0.018009,0.141587,0.004248,0.0,0.0,0.184385,0.003688,0.642048,0.012841,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.461301,0.133777
81,e2KFUcizqLnGSPcy,pop,pop|rock,pop|rock,0.595781,0.26504,0.010602,0.746353,0.022391,0.18508,0.005552,0.920518,0.027616,0.0,0.0,0.024619,0.000492,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.408451,0.118451
82,p8VFRqN750Po4AOd,pop,pop|rock,pop|rock,0.595774,0.75496,0.030198,0.933647,0.028009,0.0,0.0,0.0,0.0,0.554382,0.011088,0.0,0.0,0.0,0.0,1.0,0.29,0.491782,0.118028,0.408451,0.118451
83,F51ymL9EjgYoTQ60,pop,pop|rock,pop|rock|alternative,0.595495,0.451707,0.018068,0.0,0.0,0.0,0.0,0.116984,0.00351,0.545715,0.010914,0.642048,0.012841,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.480983,0.139485
84,wVcCllvZHLp0S7E0,pop,pop|rock,pop|80s|rock,0.594507,0.89496,0.035798,0.279687,0.008391,0.0,0.0,0.0,0.0,0.0,0.0,0.024619,0.000492,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.479824,0.139149
85,jJwpAkX537hPs6LJ,pop,pop|rock,pop|rock,0.594049,0.391707,0.015668,0.0,0.0,0.518413,0.015552,0.315918,0.009478,0.519852,0.010397,0.691285,0.013826,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.408451,0.118451
86,ePrUn8VGQsK1u5cs,pop,pop|rock,pop|80s|dance|rock,0.593867,0.71496,0.028598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.533075,0.154592
87,U7vZRy9ULsBz4WKH,pop,pop|rock,pop|rock,0.593815,0.72504,0.029002,0.326353,0.009791,0.85492,0.025648,0.0,0.0,0.012285,0.000246,0.0,0.0,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.408451,0.118451
88,9j4UhqzJ3xUWevOV,pop,pop|rock,pop|rock,0.593211,0.0,0.0,0.733647,0.022009,0.941587,0.028248,0.0,0.0,0.0,0.0,0.691285,0.013826,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.408451,0.118451
89,OYVvju21pox1KOuO,pop,pop|rock,pop|rock,0.592989,0.97496,0.038998,0.0,0.0,0.0,0.0,0.917051,0.027512,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.29,0.491782,0.118028,0.408451,0.118451
90,iloNRN1WRZVzt5rj,pop,pop|rock,pop|rock|alternative,0.592516,0.381627,0.015265,0.31302,0.009391,0.0,0.0,0.254318,0.00763,0.503385,0.010068,0.0,0.0,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.480983,0.139485
91,gOyz48ZDkGNmQusb,pop,pop|rock,pop|rock,0.59222,0.85496,0.034198,0.47302,0.014191,0.578413,0.017352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.29,0.491782,0.118028,0.408451,0.118451
92,Ef3oLqIwwzyW6udv,pop,pop|rock,pop|rock,0.592157,0.338373,0.013535,0.999687,0.029991,0.738413,0.022152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.29,0.491782,0.118028,0.408451,0.118451
93,uiKPMS3jXFnOpKZd,pop,pop|rock,pop|rock,0.591314,0.371707,0.014868,0.0,0.0,0.241587,0.007248,0.917384,0.027522,0.627385,0.012548,0.0,0.0,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.408451,0.118451
94,vpnak0c6XTl3vxR5,pop,pop|rock,pop|rock,0.591112,0.698373,0.027935,0.199687,0.005991,0.37492,0.011248,0.255251,0.007658,0.457618,0.009152,0.0,0.0,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.408451,0.118451
95,Qh70lefqMDNnayfX,pop,pop|rock,dance|pop|rock,0.590996,0.52504,0.021002,0.0,0.0,0.0,0.0,0.253482,0.007604,0.890952,0.017819,0.0,0.0,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.461703,0.133894
96,gLWZLkf9zc0ZfatM,pop,pop|rock,pop|rock,0.590587,0.991707,0.039668,0.726353,0.021791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.408451,0.118451
97,M3ApGs7RGZwXHqs4,pop,pop|rock,pop|80s|rock,0.59007,0.0,0.0,0.0,0.0,0.0,0.0,0.912318,0.02737,0.643715,0.012874,0.0,0.0,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.479824,0.139149
98,t2JG09uhhWwH5CI5,pop,pop|rock,pop|alternative|rock,0.589545,0.438373,0.017535,0.0,0.0,0.728253,0.021848,0.0,0.0,0.0,0.0,0.0,0.0,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.480983,0.139485
99,VSx4dyV7xeMsTltE,pop,pop|rock,pop|rock,0.589524,0.88504,0.035402,0.246353,0.007391,0.0,0.0,0.0,0.0,0.880148,0.017603,0.0,0.0,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.408451,0.118451
