id,spotify_id,artist,song,album_name,release,duration_ms,popularity,danceability,energy,key,mode,valence,tempo,tags,genres,lang,track_id
0HNfZ7NMpnEWYRjW,3VlbOrM6nYPprVvzBZllE5,Sam Smith,Too Good at Goodbyes,The Thrill Of It All (Special Edition),2017,201000,74.000000,0.661000,0.373000,5,1,0.523000,91.500000,pop,pop,en,0HNfZ7NMpnEWYRjW
0HNuxBP54vQhSmyJ,6HguG9HRb1Ke1bhihfE4m8,The 1975,Sincerity Is Scary,A Brief Inquiry Into Online Relationships,2018,225956,68.000000,0.656000,0.521000,2,1,0.476000,91.031000,"indie,alternative,british,indie pop,2018 single",indie pop,en,0HNuxBP54vQhSmyJ
0Hhuy13DlIS8loEY,1Ej0xptDBpBxUM1dIPcHlm,Evanescence,Broken,Evanescence,2011,269160,49.000000,0.463000,0.916000,6,1,0.273000,96.443000,"gothic,awesome,evanescence,rock",rock,en,0Hhuy13DlIS8loEY
0Hv4ymzXxkbZ42S6,0I4AHs3W95iXssprAZEhhH,Dumblonde,You Got Me,dumblonde,2015,218597,17.000000,0.695000,0.887000,8,0,0.669000,122.976000,"fierce,pop,female vocalists,electronic","pop,electronic",en,0Hv4ymzXxkbZ42S6
0IHLofrMJzg363KW,1PAw6goCv2jPzEpLpdo8nG,Bahari,Fucked Up,Fucked Up,2018,219897,41.000000,0.634000,0.548000,9,0,0.090600,118.781000,"pop,indie pop,folk,acoustic","pop,indie pop,folk",en,0IHLofrMJzg363KW
0IHQDwO3FnNYE7VY,3dfW4YCs9Wvm83csZRpmbA,Mariah Carey,Against All Odds (Take a Look at Me Now),Greatest Hits,2011,199480,55.000000,0.473000,0.514000,1,1,0.372000,117.353000,"cover,pop,mariah carey,female vocalists",pop,en,0IHQDwO3FnNYE7VY
0IK13zmUFjogFNQh,2MStsrsNz3noevbpramORf,Charli XCX,Set Me Free,True Romance,2013,233387,26.000000,0.537000,0.958000,8,0,0.775000,159.910000,"pop,electronic,synthpop,indietronica","pop,electronic,synthpop,indietronica",en,0IK13zmUFjogFNQh
0Ip1ZtKZGfQwxD0n,4AhMh0i9mBTXpfg35u1YQQ,Broods,Too Proud,Don't Feed The Pop Monster,2019,189726,46.000000,0.651000,0.553000,0,1,0.284000,91.990000,"2019,electronic,indie pop,electropop,dream pop","electronic,indie pop,electropop,dream pop",en,0Ip1ZtKZGfQwxD0n
0J0Npw045rGcsdmV,1X8iYVZACg3lYmnfd6A6fk,IAMX,Mile Deep Hollow,Mile Deep Hollow EP,2018,226400,36.000000,0.498000,0.732000,7,0,0.198000,95.020000,"electronic,alternative",electronic,en,0J0Npw045rGcsdmV
0J2vIjPtMMTqcD6q,4p6cAXMndDfxWe6oCzqfuU,James Bay,When We Were on Fire,Chaos And The Calm,2014,238427,37.000000,0.686000,0.811000,10,1,0.752000,114.015000,"acoustic,rock",rock,en,0J2vIjPtMMTqcD6q
0J6RDwwu8Xqhfulz,7lLAOmWJXM9csJkg3yKrph,Young the Giant,Nothing's Over,Home of the Strange,2016,264147,42.000000,0.681000,0.738000,7,1,0.365000,111.015000,"indie rock,indie,2016,rock,american","indie rock,rock",en,0J6RDwwu8Xqhfulz
0JA2xmcpDWN55caD,6gFtgkh8ShkrJn52Cbdhxy,Twenty One Pilots,Cut My Lip,Trench,2018,282613,66.000000,0.641000,0.561000,4,1,0.678000,111.938000,"alternative,electronic,alternative pop,synthpop","electronic,alternative pop,synthpop",en,0JA2xmcpDWN55caD
0JcsGXaF7vkn8dbc,02VMwSCsmtBoamBzozDzt2,Inc.,angel,no world,2013,239440,21.000000,0.748000,0.526000,4,0,0.197000,106.010000,"electronic,ambient,pop,indie","electronic,ambient,pop",en,0JcsGXaF7vkn8dbc
0JxOPeLv6rBhDdLJ,33BnSMHgX0AsbKSIbkuMwh,James Blake,Limit to Your Love,James Blake,2011,276720,54.000000,0.775000,0.281000,10,0,0.039800,139.951000,"electronic,dubstep,experimental,downtempo,cover","electronic,dubstep,experimental,downtempo",en,0JxOPeLv6rBhDdLJ
0Kdq3l3gHxgkoTt6,3cFWrR4fqK8mmmoJSxLkts,Christina Aguilera,Pipe,Liberation,2018,245293,41.000000,0.735000,0.576000,4,0,0.532000,180.036000,"rnb,sex,pop",pop,en,0Kdq3l3gHxgkoTt6
0KrfpITRYCMTHZno,2ZSmbG7hYBy2ObB41JQ3WW,Rob Thomas,One Less Day (Dying Young),Chip Tooth Smile,2019,184893,49.000000,0.610000,0.919000,7,1,0.495000,111.998000,"pop,rock,singer-songwriter,alternative,best of 2019,alternative rock","pop,rock,singer-songwriter,alternative rock",en,0KrfpITRYCMTHZno
0KskQ1PxHKVrtS0U,0Snvra2e8WNFin18njZ4G2,Palaye Royale,Don't Feel Quite Right,Boom Boom Room (Side A),2016,203920,45.000000,0.422000,0.948000,2,1,0.635000,157.049000,"rock,indie rock,fashion-art rock","rock,indie rock",en,0KskQ1PxHKVrtS0U
0KtVngQ3MYfJDlFc,2ClPhnTuoffoj3CkDxEdGi,MNEK,Phone,Language,2018,203022,32.000000,0.822000,0.458000,9,1,0.788000,105.968000,"rnb,pop,electronic,soul,synthpop,rnb,pop,electronic","pop,electronic,soul,synthpop,pop,electronic",en,0KtVngQ3MYfJDlFc
0Kwg0JkL3PmQSm4K,1KN9HelgzrT0jMQ5Ju8u8Y,whitewoods,Beach Walk,Beach Walk,2015,139500,52.000000,0.456000,0.816000,7,1,0.634000,89.058000,"80s,electronic,chill,vaporwave,chillwave,synthwave","electronic,vaporwave,chillwave",en,0Kwg0JkL3PmQSm4K
0LFQMQ0Zx2oKHVJO,2IiSLxnhBil287e4QMs3pM,Cambriana,"You, the Living",Manaus Vidaloka,2018,345333,6.000000,0.315000,0.665000,2,0,0.170000,141.473000,"brazilian,folk,indie,indie rock,art rock,world","folk,indie rock,art rock,world",en,0LFQMQ0Zx2oKHVJO
0LVIXYZOkSWBHkhN,4CpenJgYhhNfVk59M6wI76,Iceage,Jackie,You're Nothing + 2,2013,213995,13.000000,0.215000,0.706000,9,1,0.128000,122.837000,"punk,post-punk,post-hardcore,rock,hardcore punk","punk,post-punk,post-hardcore,rock,hardcore punk",en,0LVIXYZOkSWBHkhN
0LiOzxBZ1aPLlFsK,3juYpxT24FwoyiOIRZB3EU,Billy Talent,Cure For the Enemy,Dead Silence,2012,266694,26.000000,0.474000,0.899000,3,0,0.415000,177.951000,"rock,punk rock,alternative rock,punk","rock,alternative rock,punk",en,0LiOzxBZ1aPLlFsK
0LwSoPupgcdqr4Iz,2qpkCctfGDOn9BGwrJ5oTU,Jade Baraldo,I Adore U,I Adore U,2017,177554,31.000000,0.627000,0.185000,10,1,0.212000,129.548000,"pop,mpb,rnb,brazilian","pop,mpb",en,0LwSoPupgcdqr4Iz
