rank,track_id,lead_genre,matched_genres,matched_tags,final_score,tempo_similarity,tempo_contribution,loudness_similarity,loudness_contribution,key_similarity,key_contribution,mode_similarity,mode_contribution,lead_genre_similarity,lead_genre_contribution,genre_overlap_similarity,genre_overlap_contribution,tag_overlap_similarity,tag_overlap_contribution
18,TRAWMCL12903CAC63B,classic rock,classic rock|hard rock|progressive rock|rock,classic rock|hard rock|progressive rock|rock,0.617938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.555897,0.171823,0.513879,0.168179
19,TRBFHZG128F9310D3C,classic rock,classic rock|progressive rock|rock|hard rock,classic rock|progressive rock|rock|hard rock,0.617938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.555897,0.171823,0.513879,0.168179
20,TRBFUMI128F42B5731,classic rock,classic rock|rock|pop,classic rock|rock|pop,0.614931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.550982,0.170304,0.509335,0.166691
21,TRBFNMG128F4278109,classic rock,classic rock|rock|hard rock|80s,classic rock|rock|hard rock|80s,0.612094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.546343,0.16887,0.505048,0.165288
22,TRAMCGL128F92F3D87,progressive rock,progressive rock|rock|hard rock|classic rock,progressive rock|rock|hard rock|classic rock,0.609746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.741797,0.269744,0.555897,0.171823,0.513879,0.168179
23,TRAWAXO12903CB2364,progressive rock,progressive rock|classic rock|rock|hard rock,progressive rock|classic rock|rock|hard rock,0.609746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.741797,0.269744,0.555897,0.171823,0.513879,0.168179
24,TRAEWXY128E0786183,rock,rock|pop|classic rock|hard rock|80s|progressive rock,rock|pop|classic rock|hard rock|80s|progressive rock,0.607639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315145,0.114598,0.806114,0.249163,0.745183,0.243878
25,TRARIRG128F147FC96,pop,pop|80s|rock|classic rock,pop|80s|rock|singer-songwriter|classic rock,0.595743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.512987,0.186541,0.648475,0.200438,0.637891,0.208764
26,TRBGCLK128F4237A50,pop,pop|80s|rock|classic rock,pop|80s|rock|singer-songwriter|classic rock,0.595743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.512987,0.186541,0.648475,0.200438,0.637891,0.208764
27,TRAZOSB128F9302A07,pop,pop|rock|classic rock|progressive rock,pop|rock|classic rock|progressive rock,0.589008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.512987,0.186541,0.658028,0.20339,0.608291,0.199077
28,TRAQYZI128F4273CF3,classic rock,classic rock|progressive rock|rock,classic rock|progressive rock|rock,0.586994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.505304,0.156185,0.467111,0.152873
29,TRANMKF128E07995A8,pop,pop|rock|80s|classic rock,pop|rock|80s|classic rock,0.583166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.512987,0.186541,0.648475,0.200438,0.599459,0.196187
30,TRBGGWQ128F42A88CF,pop,pop|80s|classic rock|rock,pop|80s|classic rock|rock,0.583166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.512987,0.186541,0.648475,0.200438,0.599459,0.196187
31,TRAJOIH128F14B08F7,progressive rock,progressive rock|rock|classic rock,progressive rock|rock|classic rock,0.578802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.741797,0.269744,0.505304,0.156185,0.467111,0.152873
32,TRBFFZN12903D08332,progressive rock,progressive rock|classic rock|rock,progressive rock|classic rock|rock,0.578802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.741797,0.269744,0.505304,0.156185,0.467111,0.152873
33,TRAOLIX128E0793AFA,rock,rock|80s|new wave|pop|classic rock|hard rock,rock|80s|new wave|pop|classic rock|hard rock,0.57282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315145,0.114598,0.749186,0.231567,0.692558,0.226655
34,TRAQVWM128F426CFAD,classic rock,classic rock|rock|hard rock,classic rock|rock|singer-songwriter|hard rock,0.565042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.44885,0.138735,0.453355,0.148371
35,TRAYJDF128F426B0DE,classic rock,classic rock|rock|hard rock,classic rock|rock|singer-songwriter|hard rock,0.565042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.44885,0.138735,0.453355,0.148371
36,TRAEVIK12903CCC7E2,classic rock,classic rock|rock|hard rock,classic rock|rock|hard rock,0.552464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.44885,0.138735,0.414923,0.135793
37,TRAGCXQ128F426BDD9,classic rock,classic rock|hard rock|rock,classic rock|hard rock|rock,0.552464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.44885,0.138735,0.414923,0.135793
38,TRAIDGE128F4260E9F,classic rock,classic rock|rock|hard rock,classic rock|rock|hard rock,0.552464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.44885,0.138735,0.414923,0.135793
39,TRAKTNE128EF3427CC,classic rock,classic rock|hard rock|rock,classic rock|hard rock|rock,0.552464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.44885,0.138735,0.414923,0.135793
40,TRAMLZC128F92F3EB9,classic rock,classic rock|hard rock|rock,classic rock|hard rock|rock,0.552464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.44885,0.138735,0.414923,0.135793
41,TRANHKC128F9309BF4,classic rock,classic rock|rock|hard rock,classic rock|rock|hard rock,0.552464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.44885,0.138735,0.414923,0.135793
42,TRARCZH12903CF7D2F,classic rock,classic rock|hard rock|rock,classic rock|hard rock|rock,0.552464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.44885,0.138735,0.414923,0.135793
43,TRAUDRC128F148D15E,classic rock,classic rock|hard rock|rock,classic rock|hard rock|rock,0.552464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.44885,0.138735,0.414923,0.135793
44,TRAWHZJ128E0785694,classic rock,classic rock|hard rock|rock,classic rock|hard rock|rock,0.552464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.44885,0.138735,0.414923,0.135793
45,TRAXQZA128F1463DEB,classic rock,classic rock|rock|hard rock,classic rock|rock|hard rock,0.552464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.44885,0.138735,0.414923,0.135793
46,TRAYDJL128F145F261,classic rock,classic rock|rock|hard rock,classic rock|rock|hard rock,0.552464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.44885,0.138735,0.414923,0.135793
47,TRAZSJF12903CB2B42,classic rock,classic rock|hard rock|rock,classic rock|hard rock|rock,0.552464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.44885,0.138735,0.414923,0.135793
48,TRBAFBU128F427EFCE,classic rock,classic rock|rock|hard rock,classic rock|rock|hard rock,0.552464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.44885,0.138735,0.414923,0.135793
49,TRBAVMF12903CEA4FB,classic rock,classic rock|hard rock|rock,classic rock|hard rock|rock,0.552464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.44885,0.138735,0.414923,0.135793
50,TRBBXEG128F424EC2C,classic rock,classic rock|rock|hard rock,classic rock|rock|hard rock,0.552464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.44885,0.138735,0.414923,0.135793
51,TRBDTNY128F9327A10,classic rock,classic rock|hard rock|rock,classic rock|hard rock|rock,0.552464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.44885,0.138735,0.414923,0.135793
52,TRBGJIZ128F92E42BC,classic rock,classic rock|rock|hard rock,classic rock|rock|hard rock,0.552464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.44885,0.138735,0.414923,0.135793
53,TRAZCOX128F42B6555,rock,rock|progressive rock|hard rock|classic rock|pop,rock|progressive rock|hard rock|classic rock|pop,0.548009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315145,0.114598,0.708621,0.219028,0.655059,0.214383
54,TRBBMPH128F1469775,rock,rock|pop|classic rock|hard rock|progressive rock,rock|pop|classic rock|hard rock|progressive rock,0.548009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315145,0.114598,0.708621,0.219028,0.655059,0.214383
55,TRBDWDQ128F1455787,rock,rock|hard rock|pop|classic rock|progressive rock,rock|hard rock|pop|classic rock|progressive rock,0.548009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315145,0.114598,0.708621,0.219028,0.655059,0.214383
56,TRBHJPQ128E078ED8F,rock,rock|hard rock|classic rock|pop|progressive rock,rock|hard rock|classic rock|pop|progressive rock,0.548009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315145,0.114598,0.708621,0.219028,0.655059,0.214383
57,TRBHLDQ128F423EF10,rock,rock|hard rock|classic rock|pop|progressive rock,rock|hard rock|classic rock|pop|progressive rock,0.548009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315145,0.114598,0.708621,0.219028,0.655059,0.214383
58,TRAAKAS128F4246013,progressive rock,progressive rock|rock|pop,progressive rock|rock|pop,0.545661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.741797,0.269744,0.451121,0.139437,0.417022,0.13648
59,TRAAUMZ12903CA97DC,classical,classical|pop,classical|pop,0.544978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.363636,0.296491,0.091643,0.274081,0.089699
60,TRAEMNZ128F9334662,rock,rock|classic rock|hard rock|80s|pop,rock|classic rock|hard rock|80s|pop,0.542166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315145,0.114598,0.699067,0.216075,0.646228,0.211493
61,TRAQPKV128E078EE32,rock,rock|hard rock|classic rock|80s|pop,rock|hard rock|classic rock|80s|pop,0.542166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315145,0.114598,0.699067,0.216075,0.646228,0.211493
62,TRAUSHD128E0795347,rock,rock|classic rock|80s|pop|hard rock,rock|classic rock|80s|pop|hard rock,0.542166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315145,0.114598,0.699067,0.216075,0.646228,0.211493
63,TRAUYZG12903CDA4E9,rock,rock|hard rock|classic rock|pop|80s,rock|hard rock|classic rock|pop|80s,0.542166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315145,0.114598,0.699067,0.216075,0.646228,0.211493
64,TRAVTEH128E07953EA,rock,rock|hard rock|classic rock|pop|80s,rock|hard rock|classic rock|pop|80s,0.542166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315145,0.114598,0.699067,0.216075,0.646228,0.211493
65,TRAVUAJ128E078EDA2,rock,rock|classic rock|hard rock|80s|pop,rock|classic rock|hard rock|80s|pop,0.542166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315145,0.114598,0.699067,0.216075,0.646228,0.211493
66,TRAVVRE128F92EC0A9,rock,rock|80s|classic rock|hard rock|pop,rock|80s|classic rock|hard rock|pop,0.542166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315145,0.114598,0.699067,0.216075,0.646228,0.211493
67,TRAYKOC128F930D2B8,rock,rock|classic rock|hard rock|80s|pop,rock|classic rock|hard rock|80s|pop,0.542166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315145,0.114598,0.699067,0.216075,0.646228,0.211493
68,TRAZDPO128E078ECE6,rock,rock|classic rock|hard rock|80s|pop,rock|classic rock|hard rock|80s|pop,0.542166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315145,0.114598,0.699067,0.216075,0.646228,0.211493
69,TRAZJOI12903CDA550,rock,rock|hard rock|80s|classic rock|pop,rock|hard rock|80s|classic rock|pop,0.542166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315145,0.114598,0.699067,0.216075,0.646228,0.211493
70,TRBARHH128E078EDE9,rock,rock|classic rock|80s|hard rock|pop,rock|classic rock|80s|hard rock|pop,0.542166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315145,0.114598,0.699067,0.216075,0.646228,0.211493
71,TRBEATE128E078F0D8,rock,rock|hard rock|80s|classic rock|pop,rock|hard rock|80s|classic rock|pop,0.542166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315145,0.114598,0.699067,0.216075,0.646228,0.211493
72,TRBEKMX128F92D7B75,rock,rock|hard rock|classic rock|80s|pop,rock|hard rock|classic rock|80s|pop,0.542166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315145,0.114598,0.699067,0.216075,0.646228,0.211493
73,TRBGPJP128E078ED20,rock,rock|classic rock|hard rock|80s|pop,rock|classic rock|hard rock|80s|pop,0.542166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315145,0.114598,0.699067,0.216075,0.646228,0.211493
74,TRBHKKK128F427E9FF,rock,rock|hard rock|classic rock|80s|pop,rock|hard rock|classic rock|80s|pop,0.542166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315145,0.114598,0.699067,0.216075,0.646228,0.211493
75,TRBICGT128E0792473,rock,rock|hard rock|classic rock|80s|pop,rock|hard rock|classic rock|80s|pop,0.542166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315145,0.114598,0.699067,0.216075,0.646228,0.211493
76,TRABMFI128F1476F9F,rock,rock|80s|new wave|classic rock|pop,rock|80s|new wave|classic rock|pop,0.541876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315145,0.114598,0.698593,0.215929,0.64579,0.211349
77,TRANKIL128F1476FA2,rock,rock|80s|new wave|classic rock|pop,rock|80s|new wave|classic rock|pop,0.541876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315145,0.114598,0.698593,0.215929,0.64579,0.211349
78,TRAZGIL128E0793F9B,rock,rock|80s|classic rock|new wave|pop,rock|80s|classic rock|new wave|pop,0.541876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315145,0.114598,0.698593,0.215929,0.64579,0.211349
79,TRBBWDJ128F42595D5,rock,rock|classic rock|80s|pop|new wave,rock|classic rock|80s|pop|new wave,0.541876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315145,0.114598,0.698593,0.215929,0.64579,0.211349
80,TRAEOFB12903CB7900,progressive rock,progressive rock|rock|classical,progressive rock|rock|classical,0.540183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.741797,0.269744,0.442164,0.136669,0.408743,0.13377
81,TRAYWLI128F9300223,pop,pop|rock|classic rock,pop|rock|classic rock|singer-songwriter,0.536114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.512987,0.186541,0.550982,0.170304,0.547767,0.179269
82,TRALIVO128F4279262,classic rock,classic rock|rock,classic rock|rock|singer-songwriter,0.534099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.398258,0.123098,0.406587,0.133065
83,TRAZRFV128F92FAAB6,classic rock,classic rock|rock,classic rock|rock|singer-songwriter,0.534099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.398258,0.123098,0.406587,0.133065
84,TRAUJTZ12903CF7BB4,rock,rock|classic rock|80s|pop,rock|classic rock|80s|singer-songwriter|pop,0.5238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315145,0.114598,0.648475,0.200438,0.637891,0.208764
85,TRAXWQU128F42716E2,rock,rock|classic rock|pop|80s,rock|classic rock|singer-songwriter|pop|80s,0.5238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315145,0.114598,0.648475,0.200438,0.637891,0.208764
86,TRBDKOV128F4290943,rock,rock|classic rock|pop|80s,rock|classic rock|singer-songwriter|pop|80s,0.5238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315145,0.114598,0.648475,0.200438,0.637891,0.208764
87,TRADWAU128F145622F,classic rock,classic rock|rock,classic rock|rock,0.521521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.398258,0.123098,0.368155,0.120487
88,TRBANZZ128F149EA4C,classic rock,classic rock|rock,classic rock|rock,0.521521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.398258,0.123098,0.368155,0.120487
89,TRBDRTN12903D021D9,classic rock,classic rock|rock,classic rock|rock,0.521521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.398258,0.123098,0.368155,0.120487
90,TRBDYEF128F423DC43,classic rock,classic rock|rock,classic rock|rock,0.521521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.398258,0.123098,0.368155,0.120487
91,TRBEEQF128F4283395,classic rock,classic rock|rock,classic rock|rock,0.521521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.398258,0.123098,0.368155,0.120487
92,TRBIBAQ128F93279F5,classic rock,classic rock|rock,classic rock|rock,0.521521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.398258,0.123098,0.368155,0.120487
93,TRAEEGO12903CF7D27,classic rock,classic rock|pop,classic rock|pop,0.497896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.359632,0.111159,0.332449,0.108801
94,TRATKVY128EF35F97A,rock,rock|pop|classic rock|hard rock,rock|pop|classic rock|hard rock|singer-songwriter,0.495114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315145,0.114598,0.601574,0.185941,0.594536,0.194575
95,TRAAGEC128E079252C,industrial,rock|80s|progressive rock|classic rock|hard rock|pop,rock|80s|progressive rock|classic rock|hard rock|pop,0.493041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.806114,0.249163,0.745183,0.243878
96,TRAJNYU128E07856A5,hard rock,hard rock|80s|classic rock|rock|pop|progressive rock,hard rock|80s|classic rock|rock|pop|progressive rock,0.493041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.806114,0.249163,0.745183,0.243878
97,TRAYVMU128F92EC210,80s,80s|rock|classic rock|new wave|pop|progressive rock,80s|rock|classic rock|new wave|pop|progressive rock,0.492751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80564,0.249016,0.744745,0.243735
98,TRAVMQE12903D08335,progressive rock,progressive rock|hard rock|classic rock,progressive rock|hard rock|classic rock,0.49271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.741797,0.269744,0.364547,0.112678,0.336992,0.110288
99,TRAUVVR128F425A925,pop,pop|80s|new wave|rock,pop|80s|new wave|rock,0.487269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.512987,0.186541,0.491686,0.151976,0.454521,0.148752
100,TRBIBLJ12903CCF436,pop,pop|80s|new wave|rock,pop|80s|new wave|rock,0.487269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.512987,0.186541,0.491686,0.151976,0.454521,0.148752
101,TRBAUVN128F932FEF8,pop,pop|rock|classical,pop|rock|classical,0.484917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.512987,0.186541,0.487841,0.150787,0.450967,0.147589
102,TRAIPZY128E0787299,progressive rock,progressive rock|rock|hard rock,progressive rock|rock|hard rock,0.483194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.741797,0.269744,0.348989,0.107869,0.32261,0.105581
103,TRAMKDJ128F92F3D8B,progressive rock,progressive rock|rock|hard rock,progressive rock|rock|hard rock,0.483194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.741797,0.269744,0.348989,0.107869,0.32261,0.105581
104,TRADSUA128C7196C7C,rock,rock|pop|classic rock|hard rock,rock|pop|classic rock|hard rock,0.482536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315145,0.114598,0.601574,0.185941,0.556103,0.181997
105,TRAEWVG128F428AC7F,rock,rock|hard rock|pop|classic rock,rock|hard rock|pop|classic rock,0.482536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315145,0.114598,0.601574,0.185941,0.556103,0.181997
106,TRAGJPA128F92F9665,rock,rock|classic rock|hard rock|pop,rock|classic rock|hard rock|pop,0.482536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315145,0.114598,0.601574,0.185941,0.556103,0.181997
107,TRALROP128F92CA9CC,rock,rock|hard rock|pop|classic rock,rock|hard rock|pop|classic rock,0.482536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315145,0.114598,0.601574,0.185941,0.556103,0.181997
108,TRAPVGB128F42725AF,rock,rock|classic rock|hard rock|pop,rock|classic rock|hard rock|pop,0.482536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315145,0.114598,0.601574,0.185941,0.556103,0.181997
109,TRAWWHM128F9310FD7,rock,rock|classic rock|hard rock|pop,rock|classic rock|hard rock|pop,0.482536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315145,0.114598,0.601574,0.185941,0.556103,0.181997
110,TRBASRX12903C9FDA8,rock,rock|hard rock|pop|classic rock,rock|hard rock|pop|classic rock,0.482536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315145,0.114598,0.601574,0.185941,0.556103,0.181997
111,TRBDAVU128F423814A,rock,rock|classic rock|hard rock|pop,rock|classic rock|hard rock|pop,0.482536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315145,0.114598,0.601574,0.185941,0.556103,0.181997
112,TRAOGAZ128F42B7FFC,rock,rock|pop|new wave|classic rock,rock|pop|new wave|classic rock,0.482247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315145,0.114598,0.6011,0.185795,0.555666,0.181854
113,TRAZASM128F932FBEE,rock,rock|pop|classic rock|new wave,rock|pop|classic rock|new wave,0.482247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315145,0.114598,0.6011,0.185795,0.555666,0.181854
