rank,track_id,lead_genre,matched_genres,matched_tags,final_score,bpm_similarity,bpm_contribution,danceability_similarity,danceability_contribution,loudness_similarity,loudness_contribution,V_mean_similarity,V_mean_contribution,A_mean_similarity,A_mean_contribution,D_mean_similarity,D_mean_contribution,lead_genre_similarity,lead_genre_contribution,genre_overlap_similarity,genre_overlap_contribution,tag_overlap_similarity,tag_overlap_contribution
23,X4ws3hW4yKZyFPi6,indie pop,indie pop|pop,indie|pop|female vocalists|alternative|indie pop,0.497213,0.055913,0.005177,0.714479,0.066156,0.0,0.0,0.546757,0.101251,0.750505,0.055593,0.805556,0.059671,0.67165,0.074628,0.316782,0.046931,0.592693,0.087806
24,P3KEx5uCaRSiG2x2,indie rock,indie rock|rock,indie|alternative|rock|alternative rock,0.478297,0.0,0.0,0.283532,0.026253,0.0,0.0,0.439427,0.081375,0.716881,0.053102,0.805453,0.059663,1.0,0.111111,0.34871,0.051661,0.64214,0.095132
25,X4fkzkyHslEut5Tc,indie rock,indie rock|rock,rock|indie rock|alternative|indie|alternative rock,0.465463,0.018448,0.001708,0.630382,0.058369,0.11352,0.008409,0.19897,0.036846,0.766245,0.056759,0.46523,0.034461,1.0,0.111111,0.34871,0.051661,0.71644,0.106139
26,zFFaxVMVqVtQMaRB,hard rock,rock,rock,0.460096,0.84633,0.078364,0.658386,0.060962,0.882788,0.065392,0.419453,0.077676,0.968203,0.071719,0.787602,0.058341,0.0,0.0,0.154603,0.022904,0.166985,0.024738
27,9CHzAeSHv9tWaIXW,electronic,electronic,female vocalists|electronic|alternative,0.452972,0.894311,0.082807,0.875883,0.081101,0.497777,0.036872,0.253975,0.047032,0.913107,0.067637,0.711507,0.052704,0.328812,0.036535,0.083966,0.012439,0.241955,0.035845
28,JdKYM8BZEjL8VmSe,pop punk,rock,rock|female vocalists|alternative|alternative rock,0.443495,0.0,0.0,0.562448,0.052079,0.214573,0.015894,0.881383,0.163219,0.867672,0.064272,0.751395,0.055659,0.0,0.0,0.154603,0.022904,0.468912,0.069468
29,axdv4kGugNPl0G69,alternative rock,alternative rock|rock,alternative rock|rock|alternative|indie,0.430209,0.495548,0.045884,0.0,0.0,0.0,0.0,0.105942,0.019619,0.892107,0.066082,0.843543,0.062485,0.897489,0.099721,0.278681,0.041286,0.64214,0.095132
30,ZroyniZj5TmQTEeg,pop,pop|indie pop,indie|female vocalists|pop|indie pop|alternative,0.420694,0.10348,0.009582,0.718638,0.066541,0.0,0.0,0.349971,0.064809,0.848525,0.062854,0.649858,0.048138,0.306301,0.034033,0.316782,0.046931,0.592693,0.087806
31,QhQahljQAwJIBXvA,electronic,electronic|pop,electronic|indie|pop,0.406747,0.54219,0.050203,0.411249,0.038079,0.0,0.0,0.446281,0.082645,0.916334,0.067877,0.630877,0.046732,0.328812,0.036535,0.216634,0.032094,0.354927,0.052582
32,t69cOklpskwuIzkN,hard rock,rock,rock,0.402168,0.247331,0.022901,0.0,0.0,0.210795,0.015614,0.938184,0.173738,0.981203,0.072682,0.939476,0.069591,0.0,0.0,0.154603,0.022904,0.166985,0.024738
33,VjL805nl0oHFzqSt,hard rock,rock,rock,0.353031,0.0,0.0,0.0,0.0,0.123589,0.009155,0.851464,0.157678,0.929623,0.068861,0.940877,0.069695,0.0,0.0,0.154603,0.022904,0.166985,0.024738
34,jmq9rFLdkgwkaqyV,electronic,electronic|pop,pop|electronic|female vocalists|indie,0.349484,0.0,0.0,0.798011,0.07389,0.0,0.0,0.355333,0.065802,0.565826,0.041913,0.559361,0.041434,0.328812,0.036535,0.216634,0.032094,0.390258,0.057816
35,itO50SbHqR6xiK3t,hip hop,rock,rock|alternative|alternative rock,0.347146,0.0,0.0,0.543801,0.050352,0.100153,0.007419,0.457535,0.084729,0.590893,0.04377,0.99546,0.073738,0.0,0.0,0.154603,0.022904,0.43358,0.064234
36,9z2L8uD3GjNoXSRs,pop,pop,pop,0.345821,0.0,0.0,0.342254,0.03169,0.650772,0.048205,0.397633,0.073636,0.962915,0.071327,0.690031,0.051113,0.306301,0.034033,0.132668,0.019654,0.109103,0.016163
37,VUwJpQjeH7lOujed,hard rock,rock,rock,0.345788,0.884539,0.081902,0.936299,0.086695,0.737654,0.054641,0.065422,0.012115,0.254729,0.018869,0.592977,0.043924,0.0,0.0,0.154603,0.022904,0.166985,0.024738
38,APCOA8vqweV4WMee,electronic,electronic,female vocalists|electronic,0.342432,0.0,0.0,0.75949,0.070323,0.266736,0.019758,0.507022,0.093893,0.68988,0.051102,0.642971,0.047627,0.328812,0.036535,0.083966,0.012439,0.072595,0.010755
39,zs8HfoDBJLYAtDrU,pop,pop,alternative|pop|indie|alternative rock,0.316141,0.0,0.0,0.0,0.0,0.0,0.0,0.312925,0.057949,0.867185,0.064236,0.725114,0.053712,0.306301,0.034033,0.132668,0.019654,0.584258,0.086557
40,eNKt8Nt4qTpVT935,hard rock,rock,rock,0.303134,0.0,0.0,0.0,0.0,0.575897,0.042659,0.390422,0.0723,0.972825,0.072061,0.924379,0.068472,0.0,0.0,0.154603,0.022904,0.166985,0.024738
41,IYI6RFvYIFFg9Mi7,trip hop,trip hop|electronic,electronic|alternative,0.291721,0.487191,0.04511,0.353976,0.032776,0.578777,0.042872,0.0,0.0,0.547828,0.04058,0.502445,0.037218,0.319227,0.03547,0.182815,0.027084,0.206624,0.030611
42,9EERk7bPIn9HNBvE,pop,pop,pop|female vocalists,0.189685,0.0,0.0,0.0,0.0,0.985104,0.072971,0.0,0.0,0.309161,0.022901,0.252825,0.018728,0.306301,0.034033,0.132668,0.019654,0.144435,0.021398
